datetime,temp1,humidity,temp2,humidity2,pressure
5/16/2025 22:54,nan,nan,14.4,77.23,961.26
5/16/2025 22:57,nan,nan,14.18,77.95,961.3
5/16/2025 23:00,nan,nan,14.55,76.94,961.29
5/16/2025 23:03,nan,nan,14.34,77.69,961.27
5/16/2025 23:06,nan,nan,14.14,78.27,961.25
5/16/2025 23:09,nan,nan,14.08,79,961.29
5/16/2025 23:12,nan,nan,14.19,78.41,961.28
5/16/2025 23:15,nan,nan,14.42,78.11,961.27
5/16/2025 23:18,nan,nan,13.95,78.89,961.33
5/16/2025 23:21,nan,nan,14.26,78.63,961.31
5/16/2025 23:24,nan,nan,14.11,79.28,961.32
5/16/2025 23:27,nan,nan,14.27,78.46,961.3
5/16/2025 23:30,nan,nan,14.31,79.17,961.3
5/16/2025 23:33,nan,nan,14.24,78.65,961.3
5/16/2025 23:36,nan,nan,14.44,78.19,961.32
5/16/2025 23:39,nan,nan,14.48,77.81,961.31
5/16/2025 23:42,nan,nan,13.53,80.79,961.35
5/16/2025 23:45,nan,nan,14.13,79.23,961.33
5/16/2025 23:48,nan,nan,14.14,79.23,961.35
5/16/2025 23:51,nan,nan,14.33,78.74,961.31
5/16/2025 23:54,nan,nan,14.24,79.04,961.27
5/16/2025 23:57,nan,nan,14.1,79.63,961.25
5/17/2025 0:00,nan,nan,14.13,79.26,961.19
5/17/2025 0:03,nan,nan,14.21,79.09,961.19
5/17/2025 0:06,nan,nan,14.35,78.8,961.19
5/17/2025 0:09,nan,nan,14.36,78.57,961.19
5/17/2025 0:12,nan,nan,14.44,78.74,961.22
5/17/2025 0:15,nan,nan,14.48,77.97,961.26
5/17/2025 0:18,nan,nan,14.2,78.72,961.24
5/17/2025 0:21,nan,nan,14.27,78.5,961.26
5/17/2025 0:24,nan,nan,14.13,79.02,961.31
5/17/2025 0:27,nan,nan,14.3,78.76,961.3
5/17/2025 0:30,nan,nan,14.34,78.41,961.29
5/17/2025 0:33,nan,nan,14.39,78.47,961.24
5/17/2025 0:36,nan,nan,13.95,79.17,961.29
5/17/2025 0:39,nan,nan,14.26,78.32,961.25
5/17/2025 0:42,nan,nan,13.94,79.2,961.33
5/17/2025 0:45,nan,nan,14.14,78.89,961.29
5/17/2025 0:48,nan,nan,14.29,78.66,961.24
5/17/2025 0:51,nan,nan,13.59,79.88,961.33
5/17/2025 0:54,nan,nan,14.21,78.74,961.35
5/17/2025 0:57,nan,nan,14.18,79.08,961.33
5/17/2025 1:00,nan,nan,14.3,78.3,961.34
5/17/2025 1:03,nan,nan,14.28,78.35,961.34
5/17/2025 1:06,nan,nan,14.3,78.05,961.31
5/17/2025 1:09,nan,nan,14.33,77.82,961.29
5/17/2025 1:12,nan,nan,14.31,77.75,961.29
5/17/2025 1:15,nan,nan,14.34,77.71,961.3
5/17/2025 1:18,nan,nan,14.41,77.65,961.3
5/17/2025 1:21,nan,nan,14.24,77.95,961.31
5/17/2025 1:24,nan,nan,14.2,78.18,961.26
5/17/2025 1:27,nan,nan,14.25,78.22,961.29
5/17/2025 1:30,nan,nan,14.19,78.31,961.3
5/17/2025 1:33,nan,nan,14.25,78.07,961.34
5/17/2025 1:36,nan,nan,14.29,78.28,961.31
5/17/2025 1:39,nan,nan,14.19,78.42,961.3
5/17/2025 1:42,nan,nan,14.21,78.41,961.26
5/17/2025 1:45,nan,nan,14.26,78.36,961.27
5/17/2025 1:48,nan,nan,14.21,78.57,961.28
5/17/2025 1:51,nan,nan,14.15,78.3,961.29
5/17/2025 1:54,nan,nan,14.18,78.49,961.29
5/17/2025 1:57,nan,nan,14.06,78.46,961.32
5/17/2025 2:00,nan,nan,14.12,78.78,961.29
5/17/2025 2:03,nan,nan,14.16,78.7,961.27
5/17/2025 2:06,nan,nan,14.27,77.56,961.28
5/17/2025 2:09,nan,nan,13.75,79.68,961.32
5/17/2025 2:12,nan,nan,13.55,80.33,961.32
5/17/2025 2:15,nan,nan,13.72,80.4,961.28
5/17/2025 2:18,nan,nan,13.49,81.1,961.25
5/17/2025 2:21,nan,nan,13.95,79.63,961.24
5/17/2025 2:24,nan,nan,14.18,79.09,961.22
5/17/2025 2:27,nan,nan,14.07,79.34,961.26
5/17/2025 2:30,nan,nan,14.14,79.33,961.27
5/17/2025 2:33,nan,nan,14.19,79.11,961.27
5/17/2025 2:36,nan,nan,14.21,78.46,961.2
5/17/2025 2:39,nan,nan,14.07,79.15,961.2
5/17/2025 2:42,nan,nan,13.99,79.25,961.26
5/17/2025 2:45,nan,nan,14.07,78.83,961.23
5/17/2025 2:48,nan,nan,14.16,78.41,961.25
5/17/2025 2:51,nan,nan,14.02,79.15,961.28
5/17/2025 2:54,nan,nan,13.98,79.4,961.31
5/17/2025 2:57,nan,nan,14.05,78.91,961.32
5/17/2025 3:00,nan,nan,14.06,78.41,961.29
5/17/2025 3:03,nan,nan,14.12,78.3,961.29
5/17/2025 3:06,nan,nan,13.72,78.87,961.41
5/17/2025 3:09,nan,nan,13.34,80.64,961.39
5/17/2025 3:12,nan,nan,13.42,79.31,961.36
5/17/2025 3:15,nan,nan,13.24,79.56,961.36
5/17/2025 3:18,nan,nan,13.41,79.73,961.39
5/17/2025 3:21,nan,nan,13.48,78.79,961.4
5/17/2025 3:24,nan,nan,13.55,78.69,961.4
5/17/2025 3:27,nan,nan,13.54,78.6,961.37
5/17/2025 3:30,nan,nan,13.59,78,961.26
5/17/2025 3:33,nan,nan,13.41,78.98,961.3
5/17/2025 3:36,nan,nan,13.52,78.56,961.33
5/17/2025 3:39,nan,nan,13.26,79.53,961.3
5/17/2025 3:42,nan,nan,13,80.48,961.29
5/17/2025 3:45,nan,nan,13.5,78.93,961.34
5/17/2025 3:48,nan,nan,13.66,79.12,961.38
5/17/2025 3:51,nan,nan,13.64,79.04,961.41
5/17/2025 3:54,nan,nan,13.85,78.27,961.43
5/17/2025 3:57,nan,nan,13.77,78.44,961.42
5/17/2025 4:00,nan,nan,13.73,78.6,961.37
5/17/2025 4:03,nan,nan,13.64,78.9,961.33
5/17/2025 4:06,nan,nan,13.68,79.25,961.39
5/17/2025 4:09,nan,nan,13.76,78.84,961.41
